date,schedule_interval,transmission_id,sched_inj_gj,sched_wdl_gj,price_value,administered_price,actual_wdl_gj,actual_inj_gj
2016-11-24,4,169334,717902.0295,695371.382,10.49,,599467.7371,598214.2939
2016-11-24,5,169336,714322.215,697651.0,9.0,,599467.7371,598214.2939
2016-11-23,1,169237,733525.8481,731643.0,5.75,,728806.6066,708120.2368
2016-11-23,2,169248,707014.1225,712767.0,5.74,,728806.6066,708120.2368
2016-11-23,3,169259,709458.8334,721311.0,5.75,,728806.6066,708120.2368
2016-11-23,4,169273,723013.4084,722389.0,7.8888,,728806.6066,708120.2368
2016-11-23,5,169277,726867.0,725280.6932,6.06,,728806.6066,708120.2368
2016-11-22,1,169207,684695.2843,689170.0,5.09,,661076.7999,655815.4456
2016-11-22,2,169213,656345.8931,676017.3774,4.5,,661076.7999,655815.4456
2016-11-22,3,169217,660519.8931,686549.0764,5.0,,661076.7999,655815.4456
2016-11-22,4,169221,669639.5125,693544.1127,5.27,,661076.7999,655815.4456
2016-11-22,5,169225,668878.934,693551.3151,5.19,,661076.7999,655815.4456
2016-11-21,1,169177,588712.1747,589310.0,6.69,,584986.1572,584018.9142
2016-11-21,2,169184,603033.0135,612237.0,5.75,,584986.1572,584018.9142
2016-11-21,3,169195,585363.2015,598815.0,5.5711,,584986.1572,584018.9142
2016-11-21,4,169201,582800.4248,600632.6042,4.6,,584986.1572,584018.9142
2016-11-21,5,169203,583680.4248,601273.808,4.6,,584986.1572,584018.9142
2016-11-20,1,169146,515737.0301,506865.0,5.69,,501290.1123,509312.9008
2016-11-20,2,169155,506691.3979,503443.3428,5.7488,,501290.1123,509312.9008
2016-11-20,3,169160,510437.6915,511234.7253,5.5711,,501290.1123,509312.9008
2016-11-20,4,169168,513478.3229,514121.8893,5.09,,501290.1123,509312.9008
2016-11-20,5,169173,515332.7733,509390.0104,6.25,,501290.1123,509312.9008
2016-11-19,1,169108,555980.5548,573224.52,4.6,,576708.2537,560055.1417
2016-11-19,2,169114,566051.2415,573415.5252,5.09,,576708.2537,560055.1417
2016-11-19,3,169118,547723.1438,564449.0,4.14,,576708.2537,560055.1417
2016-11-19,4,169122,551248.2919,565316.0,4.022,,576708.2537,560055.1417
2016-11-19,5,169128,557078.5548,562880.232,5.5088,,576708.2537,560055.1417
2016-11-18,1,169055,650973.3005,672643.0,5.75,,633359.7656,658629.6046
2016-11-18,2,169062,654203.391,686537.0955,5.6233,,633359.7656,658629.6046
2016-11-18,3,169071,656526.9402,692186.6666,5.5422,,633359.7656,658629.6046
2016-11-18,4,169082,643407.2606,680975.1111,5.1088,,633359.7656,658629.6046
2016-11-18,5,169095,655713.2606,702344.9222,3.5,,633359.7656,658629.6046
2016-11-17,1,168986,583975.0,618819.3942,5.1088,,519979.1567,594733.3192
2016-11-17,2,169009,612975.0,653500.8649,3.5511,,519979.1567,594733.3192
2016-11-17,3,169019,611365.0,652525.287,3.0988,,519979.1567,594733.3192
2016-11-17,4,169027,607365.0,656611.5766,2.15,,519979.1567,594733.3192
2016-11-17,5,169037,603365.0,658826.7889,2.0888,,519979.1567,594733.3192
2016-11-16,1,168934,508016.0,558399.0667,2.0888,,546633.6588,526462.9431
2016-11-16,2,168954,506046.0,547857.9348,3.5,,546633.6588,526462.9431
2016-11-16,3,168962,534529.0,566624.0366,4.5088,,546633.6588,526462.9431
2016-11-16,4,168970,532174.0234,566277.8333,4.29,,546633.6588,526462.9431
2016-11-16,5,168974,527617.0,580022.9077,2.36,,546633.6588,526462.9431
2016-11-15,1,168852,761432.0,763436.1628,6.45,,698282.8599,751369.8674
2016-11-15,2,168874,776221.057,768686.8442,7.9955,,698282.8599,751369.8674
2016-11-15,3,168888,783488.7021,774978.8441,9.0,,698282.8599,751369.8674
2016-11-15,4,168911,759408.0938,767006.447,5.859,,698282.8599,751369.8674
2016-11-15,5,168918,756196.6153,776863.5583,4.25,,698282.8599,751369.8674
2016-11-14,1,168778,754267.5043,750415.0,7.1,,791070.5934,793926.2515
2016-11-14,2,168792,788976.7183,764046.0,8.9888,,791070.5934,793926.2515
2016-11-14,3,168814,805260.2639,771960.3333,9.2488,,791070.5934,793926.2515
2016-11-14,4,168826,804472.7857,775528.0,9.0,,791070.5934,793926.2515
2016-11-14,5,168832,802912.2258,777867.9194,7.3,,791070.5934,793926.2515
2016-11-13,1,168748,696763.0,689143.9471,6.0,,740554.5576,734390.8403
2016-11-13,2,168754,704829.7423,691248.0,6.25,,740554.5576,734390.8403
2016-11-13,3,168760,718142.2,698654.7675,5.99,,740554.5576,734390.8403
2016-11-13,4,168764,720410.8826,700202.0,5.98,,740554.5576,734390.8403
2016-11-13,5,168769,730848.3727,699901.0,7.099,,740554.5576,734390.8403
2016-11-12,1,168729,573504.8469,574898.0,4.45,,629474.7242,617779.0393
2016-11-12,2,168733,588598.4368,585083.6666,5.6,,629474.7242,617779.0393
2016-11-12,3,168737,597637.2861,594074.6666,5.59,,629474.7242,617779.0393
2016-11-12,4,168741,601863.188,594074.6666,5.6,,629474.7242,617779.0393
2016-11-12,5,168743,615588.0,594441.0086,6.01,,629474.7242,617779.0393
2016-11-11,1,168661,526958.5004,539484.0,5.75,,581812.9525,587268.6631
2016-11-11,2,168679,536903.5977,541197.0,5.19,,581812.9525,587268.6631
2016-11-11,3,168692,539370.6885,542890.0,5.19,,581812.9525,587268.6631
2016-11-11,4,168712,562920.5954,570489.0612,4.5088,,581812.9525,587268.6631
2016-11-11,5,168723,566752.5954,576108.1692,5.0,,581812.9525,587268.6631
2016-11-10,1,168596,605829.1137,629816.0,5.75,,642439.6411,629410.7794
2016-11-10,2,168607,624007.2272,640817.1666,5.75,,642439.6411,629410.7794
2016-11-10,3,168624,622428.0,637817.6269,5.1088,,642439.6411,629410.7794
2016-11-10,4,168638,624574.1458,639131.9,5.2,,642439.6411,629410.7794
2016-11-10,5,168646,619548.0,644833.8037,4.83,,642439.6411,629410.7794
2016-11-09,1,168495,637055.238,675647.0,4.65,,639519.9166,618407.4511
2016-11-09,2,168516,629858.0,665227.6149,4.2,,639519.9166,618407.4511
2016-11-09,3,168547,638451.0,679151.526,3.99,,639519.9166,618407.4511
2016-11-09,4,168559,644541.7726,687550.5207,3.5,,639519.9166,618407.4511
2016-11-09,5,168576,638541.7726,693118.8953,1.0888,,639519.9166,618407.4511
2016-11-08,1,168426,696562.1766,673968.0,7.325,,598614.762,664554.067
2016-11-08,2,168441,686512.6085,655708.0,6.9125,,598614.762,664554.067
2016-11-08,3,168453,674725.2289,652472.1541,5.8211,,598614.762,664554.067
2016-11-08,4,168471,668802.414,654828.5698,5.65,,598614.762,664554.067
2016-11-08,5,168485,655817.8817,658402.5023,3.5,,598614.762,664554.067
2016-11-07,1,168377,555647.0,553175.4394,6.0,,569164.1279,544546.9982
2016-11-07,2,168394,569223.7786,559891.0,6.45,,569164.1279,544546.9982
2016-11-07,3,168403,571787.7899,561868.0,6.1258,,569164.1279,544546.9982
2016-11-07,4,168410,567924.1199,554949.5,6.11,,569164.1279,544546.9982
2016-11-07,5,168416,558357.3065,552780.8347,4.0388,,569164.1279,544546.9982
2016-11-06,1,168298,636407.0,654746.8463,4.2,,659374.3614,635397.4786
2016-11-06,2,168324,634897.3333,643559.6771,4.0988,,659374.3614,635397.4786
2016-11-06,3,168339,642499.5997,650664.3126,4.45,,659374.3614,635397.4786
2016-11-06,4,168359,640314.6492,649595.4206,4.45,,659374.3614,635397.4786
2016-11-06,5,168363,641855.126,647914.3091,5.0,,659374.3614,635397.4786
2016-11-05,1,168214,768097.1802,760805.0,6.9487,,676386.0737,679784.818
2016-11-05,2,168239,699376.5691,673713.0004,9.455,,676386.0737,679784.818
2016-11-05,3,168250,720921.7012,691797.0004,9.05,,676386.0737,679784.818
2016-11-05,4,168273,723008.4726,688600.266,8.4,,676386.0737,679784.818
2016-11-05,5,168279,729178.5749,683952.6611,9.05,,676386.0737,679784.818
2016-11-04,1,168167,660829.3372,653636.0,6.4494,,653706.1384,668714.6722
2016-11-04,2,168171,663711.6541,641746.0,6.9436,,653706.1384,668714.6722
2016-11-04,3,168191,664503.5587,647436.2266,5.85,,653706.1384,668714.6722
2016-11-04,4,168196,667909.5474,650380.3333,6.38,,653706.1384,668714.6722
2016-11-04,5,168202,679274.4498,649745.3333,7.69,,653706.1384,668714.6722
2016-11-03,1,168130,708071.4811,690757.3333,6.9436,,701146.7385,707126.853
2016-11-03,2,168137,725538.5378,687668.6666,8.19,,701146.7385,707126.853
2016-11-03,3,168143,729074.0,688765.0426,8.2454,,701146.7385,707126.853
2016-11-03,4,168151,752818.7803,708402.6666,7.89,,701146.7385,707126.853
2016-11-03,5,168158,752819.0,707632.0365,7.7898,,701146.7385,707126.853
2016-11-02,1,168097,691147.4267,680786.0,6.9436,,766131.2874,757194.3922
2016-11-02,2,168107,717411.1715,680115.6461,8.4,,766131.2874,757194.3922
